# k	cb	gl	xy
423	0.280277	2.69846	1.16548
424	0.182464	1.3597	0.747501
425	0.152156	1.08047	0.547176
426	0.133148	1.35015	0.60043
427	0.157813	1.13212	0.635252
428	0.154011	1.15971	0.577323
429	0.167788	1.11995	0.490306
430	0.141013	1.28431	0.566644
431	0.157427	1.13914	0.623462
432	0.140261	1.05052	0.553829
433	0.139923	1.16117	0.581282
434	0.136122	1.02173	0.52158
435	0.132873	1.0146	0.495047
436	0.224489	2.22471	1.03072
437	0.148861	1.13868	0.606189
438	0.135455	1.16052	0.629359
439	0.207215	2.37122	1.06694
440	0.125719	0.960171	0.535794
441	0.143069	1.27506	0.66875
442	0.12978	1.27699	0.575423
443	0.149919	1.06203	0.557891
444	0.142511	1.0223	0.531053
445	0.144456	1.15359	0.550741
446	0.132369	1.02591	0.541127
447	0.132869	1.00832	0.500903
448	0.145792	1.27752	0.53704
449	0.133915	1.03392	0.582812
450	0.129617	1.09655	0.550439
451	0.149462	1.40517	0.582166
452	0.152011	1.15678	0.559538
453	0.131419	0.986008	0.539621
454	0.214049	2.14884	1.01827
455	0.147539	1.38468	0.947403
456	0.133724	0.995614	0.540683
457	0.217313	2.07756	0.996663
458	0.131244	0.834572	0.480496
459	0.153168	1.23026	0.600085
460	0.156433	1.59696	0.677777
461	0.147547	1.27076	0.637843
462	0.135258	1.4013	0.617115
463	0.162564	1.39157	0.651333
464	0.137414	1.2273	0.618695
465	0.126474	0.997853	0.538478
466	0.15225	1.44149	0.720831
467	0.129453	1.2856	0.6616
468	0.128749	1.08485	0.562399
469	0.138627	1.25002	0.616311
470	0.135859	1.1293	0.553125
471	0.139131	0.999063	0.52102
472	0.221696	2.12548	0.999899
473	0.128018	1.48088	0.922616
474	0.138042	0.977504	0.528208
475	0.213527	2.16217	0.998507
476	0.136778	0.933325	0.520654
477	0.158606	1.57017	0.715237
478	0.176726	1.52479	0.513558
479	0.151607	1.12308	0.559775
480	0.134826	1.0702	0.542804
481	0.152626	1.15249	0.593474
482	0.140441	1.03345	0.557095
483	0.131259	0.975488	0.532129
484	0.197364	1.35667	0.628929
485	0.134029	1.45004	0.638269
486	0.130048	1.07424	0.586278
487	0.143812	1.37008	0.596116
488	0.13049	1.11771	0.584809
489	0.133888	0.987621	0.499274
490	0.237521	2.20072	0.965453
491	0.154259	1.28736	0.768621
492	0.136494	0.954056	0.557174
493	0.21148	2.16114	0.996433
494	0.149136	1.06497	0.533461
495	0.161797	1.49381	0.734039
496	0.224262	1.18317	0.80396
497	0.132007	1.15974	0.531435
498	0.139189	1.04359	0.551106
499	0.156675	1.30971	0.627488
500	0.136774	1.10454	0.558483
501	0.131986	1.0103	0.484849
502	0.157118	1.4935	0.702861
503	0.141957	1.39129	0.633654
504	0.125707	1.02861	0.547303
505	0.138967	1.04955	0.592227
506	0.131518	1.09462	0.606676
507	0.130251	0.998352	0.501671
508	0.22002	2.13866	0.994264
509	0.149411	1.54575	0.850497
510	0.149299	1.00844	0.609277
511	0.218982	2.16792	0.992429
512	0.15028	1.0823	0.714004
513	0.18952	1.56307	0.75202
514	0.196135	1.3063	0.68118
515	0.150054	1.12539	0.579779
516	0.146168	1.151	0.554064
517	0.12394	1.07821	0.589788
518	0.134828	1.11618	0.543636
519	0.13046	1.03412	0.497128
520	0.15375	1.37081	0.556744
521	0.152163	1.28175	0.695298
522	0.126432	1.09062	0.582578
523	0.193273	1.0612	0.515394
524	0.130802	1.1664	0.54048
525	0.138465	0.931748	0.497922
526	0.23518	2.12505	1.00888
527	0.148376	1.30216	0.702184
528	0.160669	1.00256	0.516241
529	0.214805	2.16279	0.988048
530	0.148415	1.40294	0.71366
531	0.200631	1.69353	0.813943
532	0.224599	1.24801	0.596281
533	0.142526	1.18099	0.569578
534	0.141979	1.11824	0.556483
535	0.509052	293.631	2.63424
536	0.121244	1.11606	0.563262
537	0.131481	0.928952	0.469491
538	0.193295	1.1028	0.567232
539	0.154376	1.26414	0.647873
540	0.125431	0.992209	0.521699
541	0.181851	1.26334	0.516184
542	0.142472	1.09605	0.546415
543	0.140659	0.973951	0.485318
544	0.26283	2.1697	1.01086
