Time	cb	gl	xy
4.500000000000000000e+02	1.329252752590508457e+00	1.410866647265199525e+01	6.849659801909536938e+00
4.530000000000000000e+02	1.377351040551618055e+00	1.427069112982090893e+01	7.307830202463714286e+00
4.560000000000000000e+02	1.346597502169571525e+00	1.471210543867562848e+01	7.219224816863469840e+00
4.590000000000000000e+02	1.301813696515099039e+00	1.425763861692359491e+01	7.029044492257865429e+00
4.620000000000000000e+02	1.265167112217875145e+00	1.504508860459442765e+01	7.550342929517350754e+00
4.650000000000000000e+02	1.325474238297356333e+00	1.409110997150558831e+01	7.029554898984575750e+00
4.680000000000000000e+02	1.255575082216327854e+00	1.467977769249469233e+01	7.176725304442787667e+00
4.710000000000000000e+02	1.271017394542002021e+00	1.553936832595347539e+01	7.507639372172780767e+00
4.740000000000000000e+02	1.304950680339632241e+00	1.401066882394213842e+01	6.952242012843614205e+00
4.770000000000000000e+02	1.303588573106657877e+00	1.455037149249226935e+01	7.002270169515882436e+00
4.800000000000000000e+02	1.395732547368171650e+00	1.724883052813256157e+01	8.505262053156153357e+00
4.830000000000000000e+02	1.265050884643827755e+00	1.416413377883822555e+01	6.886800938873509637e+00
4.860000000000000000e+02	1.229537981465806729e+00	1.450309984318231038e+01	7.053406971424647232e+00
4.890000000000000000e+02	1.291181539845857262e+00	1.502173536562028566e+01	7.320767011880978004e+00
4.920000000000000000e+02	1.292820570917549761e+00	1.525251331507276298e+01	7.742942882836403307e+00
4.950000000000000000e+02	1.310059059758971189e+00	1.536589588103996817e+01	7.645330332208702728e+00
4.980000000000000000e+02	1.228984444756189287e+00	1.510389582270410536e+01	7.225145403454116710e+00
5.010000000000000000e+02	1.275247591952068493e+00	1.558461104578049650e+01	7.727238709843838649e+00
5.040000000000000000e+02	1.406023835843510650e+00	1.532111312051459606e+01	7.338724803305099798e+00
5.070000000000000000e+02	1.307824256802838425e+00	1.517319169253156197e+01	7.439731126161665209e+00
5.100000000000000000e+02	1.217565366179302444e+00	1.406325529813788044e+01	6.858549380661646211e+00
5.130000000000000000e+02	1.274702435075792062e+00	1.443477127843497243e+01	7.160009640743193238e+00
5.160000000000000000e+02	1.317698876166747191e+00	1.437641806104823594e+01	7.188888453367247244e+00
5.190000000000000000e+02	1.228529674152009310e+00	1.477906936783888270e+01	7.221798955228910799e+00
5.220000000000000000e+02	1.271918774591588752e+00	1.555297740302046527e+01	7.615577247074008405e+00
5.250000000000000000e+02	1.267630036985681441e+00	1.548684831850130550e+01	7.611018278964513328e+00
5.280000000000000000e+02	1.259733207063895577e+00	1.423661803649571311e+01	7.077305024326180138e+00
5.310000000000000000e+02	1.290425477681535593e+00	1.487864149713381678e+01	7.391472050146625783e+00
5.340000000000000000e+02	1.335755083744285976e+00	1.324956574047597613e+01	6.604379143519675033e+00
5.370000000000000000e+02	1.225594073158557507e+00	1.407915338760117940e+01	6.892021639964875490e+00
5.400000000000000000e+02	1.267817028693208004e+00	1.669633001562950270e+01	8.065565713125511849e+00
5.430000000000000000e+02	1.332998343693019505e+00	1.477018411357019900e+01	7.342010770877647197e+00
5.460000000000000000e+02	1.329055511349714669e+00	1.549675858026871822e+01	7.520354493349421965e+00
5.490000000000000000e+02	1.268414525211000177e+00	1.579466183549381242e+01	7.725865059550975467e+00
