# Wavelength	Beta
5971	-0.798522
5972	-0.840909
5973	-0.783322
5974	-0.666666
5975	-0.546936
5976	-0.449304
5977	-0.351296
5978	-0.214632
5979	-0.0234324
5980	0.207984
5981	0.460349
5982	0.722744
5983	0.968784
5984	1.1249
5985	1.11189
5986	0.927512
5987	0.648026
5988	0.345208
5989	0.0380646
5990	-0.267147
5991	-0.54381
5992	-0.763842
5993	-0.91976
5994	-0.995611
5995	-0.949424
5996	-0.751323
5997	-0.435603
5998	-0.0886458
5999	0.221165
6000	0.492914
6001	0.742798
6002	0.939514
6003	1.03292
6004	1.03651
6005	1.04789
6006	1.14366
6007	1.28377
6008	1.36022
6009	1.31473
6010	1.20202
6011	1.14083
6012	1.17334
6013	1.20014
6014	1.11779
6015	1.00373
6016	1.0364
6017	1.23946
6018	1.46061
6019	1.57375
6020	1.58784
6021	1.57287
6022	1.55196
6023	1.49386
6024	1.37571
6025	1.23402
6026	1.14913
6027	1.16634
6028	1.2448
6029	1.28707
6030	1.23188
6031	1.10001
6032	0.933801
6033	0.743095
6034	0.530269
6035	0.32192
6036	0.147733
6037	0.0308736
6038	0.008731
6039	0.141954
