# Wavelength	Beta
5526	3.2926
5527	3.1952
5528	3.07788
5529	2.82953
5530	2.29812
5531	1.4513
5532	0.256164
5533	-1.03201
5534	-2.04919
5535	-2.722
5536	-3.08362
5537	-3.06626
5538	-2.50022
5539	-1.31212
5540	0.201504
5541	1.52956
5542	2.53594
5543	3.42309
5544	4.27601
5545	4.96158
5546	5.30298
5547	5.07111
5548	4.10485
5549	2.82763
5550	1.83941
5551	1.34503
5552	1.28969
5553	1.57264
5554	2.16831
5555	3.10643
5556	4.29638
5557	5.48393
5558	6.48176
5559	7.24957
5560	7.68337
5561	7.71774
5562	7.57531
5563	7.50878
5564	7.41427
5565	6.95822
5566	6.10844
5567	5.11927
5568	4.18324
5569	3.35061
5570	2.57945
5571	1.78558
5572	0.9522
5573	0.248375
5574	-0.0650039
5575	0.102649
5576	0.62419
5577	1.32207
5578	2.18764
5579	3.32826
5580	4.5668
5581	5.38077
5582	5.48658
5583	5.14485
5584	4.84871
5585	4.90126
5586	5.26251
5587	5.69963
5588	6.01514
5589	6.22668
5590	6.52939
5591	7.0396
5592	7.57211
5593	7.79536
5594	7.61602
5595	7.17918
5596	6.51955
5597	5.56843
5598	4.41748
5599	3.35328
5600	2.6944
5601	2.63845
5602	3.16413
5603	4.07881
5604	5.12614
5605	6.04972
5606	6.67549
5607	6.91583
5608	6.66157
5609	5.88666
5610	4.83502
5611	3.85126
5612	2.99203
5613	2.13328
5614	1.41345
5615	1.12579
5616	1.34675
5617	1.95021
5618	2.79246
5619	3.7966
5620	4.8763
5621	5.84059
5622	6.54408
5623	6.97974
5624	7.10122
5625	6.7926
5626	6.08223
5627	5.18215
5628	4.29058
5629	3.49889
5630	2.92987
5631	2.69672
5632	2.80627
5633	3.23545
5634	4.01505
5635	5.19018
5636	6.61315
5637	7.90694
5638	8.78014
5639	9.24122
5640	9.41712
5641	9.33118
5642	8.99372
5643	8.5362
5644	7.91076
5645	6.8001
5646	5.40994
5647	4.34372
5648	3.75535
5649	3.48943
5650	3.40652
5651	3.43121
5652	3.50758
5653	3.58724
5654	3.66749
5655	3.80801
5656	4.05542
5657	4.37741
5658	4.68543
5659	4.89031
5660	4.92966
5661	4.80135
5662	4.59931
5663	4.44995
5664	4.39322
5665	4.3871
5666	4.40422
5667	4.45892
5668	4.5494
5669	4.67047
5670	4.88075
5671	5.25786
5672	5.77211
5673	6.2882
5674	6.71763
5675	7.07641
5676	7.34091
5677	7.39621
5678	7.21786
5679	6.98315
5680	6.86431
5681	6.80113
5682	6.58514
5683	6.12731
5684	5.56159
5685	5.03536
5686	4.60008
5687	4.30242
5688	4.20101
5689	4.29281
5690	4.50601
5691	4.78711
5692	5.12085
5693	5.5183
5694	5.98102
5695	6.45947
5696	6.81073
5697	6.85124
5698	6.51661
5699	5.94165
5700	5.23149
5701	4.34971
5702	3.33201
5703	2.3893
5704	1.77292
5705	1.60245
5706	1.85094
5707	2.41071
5708	3.1682
5709	4.00236
5710	4.79849
5711	5.45994
5712	5.92544
5713	6.19746
5714	6.30531
5715	6.20667
5716	5.77107
5717	4.98618
5718	4.10272
5719	3.43551
5720	3.11982
5721	3.1159
5722	3.31438
5723	3.60223
5724	3.88977
5725	4.21123
5726	4.78685
5727	5.78075
5728	6.9636
5729	7.92743
5730	8.59925
5731	9.22064
5732	9.97222
5733	10.7887
5734	11.4726
5735	11.8552
5736	11.8088
5737	11.2002
5738	9.99746
5739	8.37092
5740	6.53828
5741	4.64704
5742	2.88392
5743	1.50269
5744	0.640244
5745	0.258262
5746	0.233841
5747	0.413301
5748	0.593542
5749	0.587955
5750	0.400635
5751	0.231862
5752	0.255511
5753	0.47973
5754	0.83083
5755	1.24849
5756	1.67087
5757	1.95252
5758	1.95211
5759	1.70688
5760	1.43281
5761	1.30744
5762	1.36336
5763	1.50443
5764	1.57007
5765	1.44501
5766	1.15979
5767	0.838095
5768	0.542728
5769	0.253366
5770	-0.031385
5771	-0.238991
5772	-0.322762
5773	-0.339821
5774	-0.392024
5775	-0.471522
5776	-0.474217
5777	-0.338806
5778	-0.0969523
5779	0.173004
5780	0.390907
5781	0.506051
5782	0.530969
5783	0.529753
5784	0.544713
5785	0.545273
5786	0.467164
5787	0.281792
5788	0.0264882
5789	-0.215166
5790	-0.348891
5791	-0.317864
5792	-0.141627
5793	0.0829551
5794	0.225428
5795	0.194533
5796	-0.005928
5797	-0.270271
5798	-0.465568
5799	-0.529008
5800	-0.50081
5801	-0.471051
5802	-0.511425
5803	-0.614941
5804	-0.703017
5805	-0.693529
5806	-0.565272
5807	-0.351558
5808	-0.0865234
5809	0.21292
5810	0.5155
5811	0.751549
5812	0.851054
5813	0.801061
5814	0.662641
5815	0.514604
5816	0.39616
5817	0.301452
5818	0.218184
5819	0.145274
5820	0.0796664
5821	0.00689234
5822	-0.0791633
5823	-0.159565
5824	-0.203981
5825	-0.203086
5826	-0.205145
5827	-0.303015
5828	-0.558087
5829	-0.945004
5830	-1.38012
5831	-1.77474
5832	-2.07088
5833	-2.23338
5834	-2.2503
5835	-2.14151
5836	-1.94758
5837	-1.6947
5838	-1.37246
5839	-0.957801
5840	-0.4673
5841	0.00354833
5842	0.329644
5843	0.466082
5844	0.456606
5845	0.3586
5846	0.202967
5847	0.00343982
5848	-0.222116
5849	-0.448499
5850	-0.652182
5851	-0.81509
5852	-0.91106
5853	-0.879802
5854	-0.638656
5855	-0.156395
5856	0.474075
5857	1.05639
5858	1.4362
5859	1.59872
5860	1.60591
5861	1.48331
5862	1.21879
5863	0.821024
5864	0.330401
5865	-0.193548
5866	-0.661112
5867	-0.966384
5868	-1.02585
5869	-0.807782
5870	-0.354582
5871	0.237154
5872	0.889605
5873	1.60159
5874	2.44039
5875	3.44156
5876	4.49611
5877	5.3721
5878	5.89596
5879	6.09324
5880	6.14377
5881	6.2335
5882	6.50457
5883	7.04321
5884	7.81679
5885	8.67689
5886	9.47961
5887	10.1071
5888	10.4004
5889	10.2164
5890	9.57546
5891	8.59323
5892	7.34532
5893	5.98339
5894	4.80908
5895	4.04354
5896	3.60293
5897	3.2651
5898	2.92221
5899	2.59846
5900	2.32392
5901	2.1147
5902	1.9979
5903	2.00107
5904	2.0826
5905	2.12177
5906	2.01833
5907	1.78364
5908	1.52099
5909	1.34272
5910	1.30928
5911	1.366
5912	1.37431
5913	1.24291
5914	1.00076
5915	0.731101
5916	0.489802
5917	0.297225
5918	0.20783
5919	0.302498
5920	0.598076
5921	1.01082
5922	1.41713
5923	1.74044
5924	1.9656
5925	2.11037
5926	2.18584
5927	2.15786
5928	1.94902
5929	1.51819
5930	0.941211
5931	0.356052
5932	-0.154726
5933	-0.566168
5934	-0.848443
5935	-0.962801
5936	-0.91202
5937	-0.766797
5938	-0.619454
5939	-0.524854
5940	-0.492326
5941	-0.509374
5942	-0.546252
5943	-0.57298
5944	-0.588523
5945	-0.619519
5946	-0.6867
5947	-0.779074
5948	-0.867797
5949	-0.926669
5950	-0.934974
5951	-0.87222
5952	-0.727557
5953	-0.515371
5954	-0.282413
5955	-0.0839572
5956	0.0552057
5957	0.165266
5958	0.298643
5959	0.466516
5960	0.620094
5961	0.6902
5962	0.651067
5963	0.532612
5964	0.373566
5965	0.1901
5966	-0.00592678
5967	-0.198053
5968	-0.38519
5969	-0.583834
5970	-0.783327
5971	-0.928666
5972	-0.965458
5973	-0.886542
5974	-0.741021
5975	-0.597137
5976	-0.489032
5977	-0.393984
5978	-0.266289
5979	-0.0832873
5980	0.142234
5981	0.390617
5982	0.652505
5983	0.901899
5984	1.05956
5985	1.03877
5986	0.83804
5987	0.543909
5988	0.237539
5989	-0.0618879
5990	-0.354648
5991	-0.619471
5992	-0.828969
5993	-0.974326
5994	-1.03739
5995	-0.973123
5996	-0.748479
5997	-0.397356
5998	-0.0110752
5999	0.332497
6000	0.625361
6001	0.884252
6002	1.08261
6003	1.17357
6004	1.17111
6005	1.17476
6006	1.26572
6007	1.40649
6008	1.48636
6009	1.44304
6010	1.33289
6011	1.28228
6012	1.33702
6013	1.38739
6014	1.3108
6015	1.17578
6016	1.17078
6017	1.33443
6018	1.52177
6019	1.6072
6020	1.60014
6021	1.5736
6022	1.55354
6023	1.50832
6024	1.41226
6025	1.30099
6026	1.25696
6027	1.32738
6028	1.46646
6029	1.56191
6030	1.53603
6031	1.40446
6032	1.21633
6033	0.990977
6034	0.738998
